,NIC_PT,NAME,NUI_PT,time,state,county,SAEPOVRTALL_PT,SAEPOVALL_PT
174,7275,"Scott County, AR",908,2016,05,127,19.7,1991
175,5322,"Searcy County, AR",589,2016,05,129,23.1,1814
176,93755,"Sebastian County, AR",12637,2016,05,131,16.9,21232
177,11615,"Sevier County, AR",2690,2016,05,133,20.8,3465
178,11274,"Sharp County, AR",1286,2016,05,135,21.3,3610
179,8029,"Stone County, AR",1016,2016,05,137,21.8,2697
180,29773,"Union County, AR",2807,2016,05,139,19.3,7603
181,10958,"Van Buren County, AR",1301,2016,05,141,16.7,2737
182,170962,"Washington County, AR",23998,2016,05,143,15.8,34567
183,57988,"White County, AR",5486,2016,05,145,15.7,11843
184,4486,"Woodruff County, AR",542,2016,05,147,26.3,1712
185,15257,"Yell County, AR",2250,2016,05,149,18,3817
186,1338971,"Alameda County, CA",74359,2016,06,001,10.7,173386
187,770,"Alpine County, CA",59,2016,06,003,18.6,199
188,23187,"Amador County, CA",1479,2016,06,005,11.3,3846
189,169367,"Butte County, CA",12937,2016,06,007,19.5,43428
190,30925,"Calaveras County, CA",2068,2016,06,009,13.1,5833
191,16374,"Colusa County, CA",1969,2016,06,011,11.1,2375
192,905168,"Contra Costa County, CA",57151,2016,06,013,8.7,97573
193,18540,"Del Norte County, CA",1546,2016,06,015,23.7,5842
194,141343,"El Dorado County, CA",8005,2016,06,017,8.7,16073
195,763337,"Fresno County, CA",79068,2016,06,019,25.5,245131
196,21013,"Glenn County, CA",2301,2016,06,021,16.7,4632
197,101458,"Humboldt County, CA",9218,2016,06,023,20,26632
198,135603,"Imperial County, CA",12317,2016,06,025,23.6,40601
199,12600,"Inyo County, CA",1180,2016,06,027,12.3,2184
200,694906,"Kern County, CA",61640,2016,06,029,22.4,190993
201,108914,"Kings County, CA",9837,2016,06,031,17.4,23247
202,44977,"Lake County, CA",4263,2016,06,033,20.7,13065
203,18309,"Lassen County, CA",936,2016,06,035,17.6,4085
204,7757894,"Los Angeles County, CA",926957,2016,06,037,16.3,1629450
205,113458,"Madera County, CA",12189,2016,06,039,20.4,30029
206,191817,"Marin County, CA",10687,2016,06,041,7.8,19932
207,11773,"Mariposa County, CA",990,2016,06,043,17.9,3077
208,61684,"Mendocino County, CA",6772,2016,06,045,19,16366
209,212638,"Merced County, CA",19424,2016,06,047,20.3,53417
210,5814,"Modoc County, CA",637,2016,06,049,18.4,1571
211,10652,"Mono County, CA",1221,2016,06,051,11.5,1583
212,322135,"Monterey County, CA",39855,2016,06,053,12.9,53898
213,105540,"Napa County, CA",8215,2016,06,055,7.9,10958
214,68466,"Nevada County, CA",5060,2016,06,057,10.9,10662
215,2485126,"Orange County, CA",221792,2016,06,059,11.1,348173
216,294445,"Placer County, CA",14032,2016,06,061,7.2,27340
217,12594,"Plumas County, CA",947,2016,06,063,12.6,2312
218,1825108,"Riverside County, CA",197822,2016,06,065,15.3,359774
219,1216540,"Sacramento County, CA",75034,2016,06,067,16.3,243760
220,48065,"San Benito County, CA",3836,2016,06,069,10.5,6206
221,1692779,"San Bernardino County, CA",169236,2016,06,071,17.6,369012
222,2559311,"San Diego County, CA",226877,2016,06,073,12.4,400028
223,699076,"San Francisco County, CA",34411,2016,06,075,10.2,87690
224,584430,"San Joaquin County, CA",45873,2016,06,077,14.6,105268
225,200642,"San Luis Obispo County, CA",15158,2016,06,079,11,29345
226,614941,"San Mateo County, CA",33832,2016,06,081,6.6,50438
227,326644,"Santa Barbara County, CA",37611,2016,06,083,13.9,59468
228,1578355,"Santa Clara County, CA",84393,2016,06,085,9.3,175627
229,207294,"Santa Cruz County, CA",15954,2016,06,087,13.4,35339
230,131778,"Shasta County, CA",9511,2016,06,089,17.2,30359
231,1929,"Sierra County, CA",147,2016,06,091,14.4,419
232,29914,"Siskiyou County, CA",2637,2016,06,093,18.8,8109
233,343692,"Solano County, CA",22453,2016,06,095,11.4,48701
234,375192,"Sonoma County, CA",30544,2016,06,097,9.4,46604
235,435031,"Stanislaus County, CA",31825,2016,06,099,14.5,77913
236,73643,"Sutter County, CA",7650,2016,06,101,17.1,16390
237,46832,"Tehama County, CA",3921,2016,06,103,20.9,13060
238,8513,"Trinity County, CA",854,2016,06,105,21.3,2668
239,361677,"Tulare County, CA",39771,2016,06,107,24.7,112387
240,35197,"Tuolumne County, CA",2249,2016,06,109,15.4,7781
